0,0,9998,9998,9998,9998,9996,9998,9998,9998,9998,2,9996,9998,9998,9998,9998,9998,9998,9998,-3,9998,9998,9998,9995,9998,9998,9998,9998,9996,9998,9998,-2,9998,9996,9998,5,9998,9997,9998,9998,9997,9998,9997,9998,9997,4,9995,9995,9998,9998,9997,9998,9998,9998,9996,9998,9998,9998,9996,9998,9998,9998,9998,3,9998,9998,-1,9998,9997,9998,9998,9998,-1,9998,9998,9998,9998,9998,9998,9994,1,9998,9996,9998,9996,2,9998,9996,9998,9998,9998,9998,9998,9998,9997,9998,9998,9996,9998
9997,0,9998,9998,9998,9998,9996,9998,6,9998,9998,3,9996,9998,9998,9998,9998,9998,9998,9998,0,9998,9998,9998,9995,9998,9998,9998,9998,9996,9998,9998,-1,9998,9996,9998,1,9998,9997,9998,9998,9997,9998,4,9998,9997,4,-2,1,9998,9998,9997,9998,9998,9998,-1,9998,9998,9998,2,9998,9998,9998,9998,4,9998,9998,0,9998,0,9998,9998,9998,3,9998,9998,9998,9998,1,9998,9994,5,9998,9996,9998,9996,6,9998,-1,9998,9998,1,9998,9998,9998,9997,9998,9998,9996,9998
9998,1,0,9999,9999,9999,8,9999,9999,9999,9999,3,9997,9999,9999,9999,9999,9999,9999,9999,9997,9999,9999,9999,9996,9999,9999,9999,9999,9997,9999,9999,-1,2,9997,9999,9999,9999,9998,9999,9999,9998,9999,9,9999,9998,5,9996,9996,9999,9999,4,9999,9999,9999,9997,9999,9999,9999,9997,9999,9999,9999,9999,4,9999,9999,0,9999,9998,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9995,2,9999,9997,9999,9997,3,9999,9997,9999,9999,9999,9999,9999,9999,9998,9999,9999,9997,9999
6,12,9999,0,9999,9999,9997,9999,14,9999,9999,4,9997,9999,9999,9999,9999,9999,9999,9999,8,9999,9999,9999,2,9999,9999,9999,9999,10,9999,9999,0,9999,9997,9999,9,9999,4,9999,9999,9998,9999,12,9999,9998,12,5,9,9999,9999,9998,9999,9999,9999,6,9999,9999,9999,10,9999,5,9999,9999,5,9999,9999,1,9999,8,9999,9999,9999,11,9999,9999,9999,9999,9,9999,1,13,9999,3,9999,5,14,9999,7,9999,9999,9,9999,9999,9999,9998,9999,9999,9997,9999
9995,3,9996,9996,0,9996,9994,9996,4,9996,9996,1,9994,9996,9996,9996,9996,9996,9996,9996,-2,9996,9996,9996,9993,9996,9996,9996,9996,9994,9996,9996,-3,9996,9994,9996,-1,9996,9995,9996,9996,9995,9996,2,9996,9995,2,-4,-1,9996,9996,9995,9996,9996,9996,-3,9996,9996,9996,0,9996,9996,9996,9996,2,9996,9996,-2,9996,-2,9996,9996,9996,2,9996,9996,9996,9996,-1,9996,9992,4,9996,9994,9996,9994,5,9996,-3,9996,9996,-1,9996,9996,9996,9995,9996,9996,9994,9996
9998,9997,9999,9999,9999,0,9997,9999,9999,9999,9999,9998,9997,9999,9999,9999,9999,9999,9999,9999,9997,9999,9999,9999,9996,9999,9999,9999,9999,9997,9999,9999,-1,9999,9997,9999,9999,9999,9998,9999,9999,9998,9999,4,9999,9998,9999,9996,9996,9999,9999,9998,9999,9999,9999,9997,9999,9999,9999,9997,9999,9999,9999,9999,9999,9999,9999,9995,9999,9998,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9995,9998,9999,9997,9999,9997,9999,9999,9997,9999,9999,9999,9999,9999,9999,9998,9999,9999,9997,9999
1,6,9997,9997,9997,9997,0,9997,9,9997,9997,4,1,9997,9997,9997,9997,9997,9997,9997,3,9997,9997,9997,9994,9997,9997,9997,9997,5,9997,9997,0,9997,2,9997,0,9997,9996,9997,9997,-1,9997,7,9997,9996,6,-1,3,9997,9997,9996,9997,9997,9997,0,9997,9997,9997,4,9997,0,9997,9997,5,9997,9997,1,9997,3,-1,9997,9997,5,9997,9997,9997,9997,4,9997,9993,7,9997,9995,9997,9995,8,9997,2,9997,9997,4,9997,9997,9997,9996,9997,9997,-2,9997
9998,4,9999,9999,9999,9999,9997,0,9999,9999,9999,5,9997,9999,5,9999,9999,9999,9999,9999,2,9999,9999,9999,9996,9999,9999,9999,9999,9997,9999,9999,1,9999,9997,9999,3,9999,9998,9999,9999,9998,9999,6,9999,9998,7,0,9996,9999,9999,9998,9999,9999,9999,1,9999,9999,9999,9997,9999,9999,9999,9999,6,9999,9999,2,9999,2,9999,9999,9999,6,9999,9999,9999,9999,9999,9999,9995,4,9999,9997,9999,9997,6,9999,1,9999,9999,3,9999,9999,9999,9998,9999,9999,9997,9999
-1,9997,9999,9999,9999,9999,9997,9999,0,9999,9999,9998,-1,9999,9999,9999,9999,9999,9999,9999,9997,9999,9999,9999,9996,9999,9999,9999,5,9997,9999,9999,9994,9999,9997,9999,9999,9999,9998,9999,9999,9998,9999,9998,9999,9998,9999,9996,9996,9999,9999,9998,9999,9999,9999,9997,9999,9999,9999,9997,9999,9999,9999,9999,9999,9999,9999,9995,9999,9998,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9995,9998,9999,9997,9999,9997,9999,9999,9997,9999,9999,9999,9999,9999,9999,9998,9999,9999,9997,9999
4,9997,9999,9999,9999,9999,9997,9999,9999,0,9999,9998,9997,9999,9999,9999,9999,2,9999,9999,9997,9999,9999,9999,9996,9999,9999,9999,9999,9997,9999,9999,9994,9999,9997,9999,9999,9999,9998,9999,9999,9998,9999,9998,9999,9998,9999,9996,9996,9999,9999,9998,9999,9999,9999,9997,9999,9999,9999,9997,9999,9999,9999,9999,9999,9999,9999,9995,9999,9998,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9995,9998,9999,9997,9999,9997,9999,9999,9997,9999,9999,9999,9999,9999,9999,9998,9999,9999,9997,9999
